IV_Standardised,E_mag
Balance,0.257876
Act_Den,0.113
Act_Den,0.131
Local_Access,0.104
Local_Access,0.06028315
Local_Access,-0.016430595
Local_Access,-0.2934
Mix_Land,0.30781475
Pop_Den,0.0922
Emp_Den,0.3756
Emp_Den,0.2809
Pop_Den,0.1802
Emp_Den,0.199325893
Emp_Den,-0.06
Mix_Land,0.09
Comm_Den,0.612439835
Mix_Land,0.049818998
Mix_Land,0.721342523
Emp_Den,0.070986556
Local_Access,0.106380138
Balance,0.004137
Emp_den,0.114337537
Pop_Den,0.207010963
Emp_Den,0.11
Comm_Den,0.449601482
Pop_Den,0.13
Local_Access,0.092947425
Balance,0.010504
Mix_Land,-0.09869435
Safety,0.212891328
Comm_Den,0.1275
Pop_Den,0.265
Connectivity,0.103696916
Act_Den,0.08
Emp_Den,0.060885
Mix_Land,0.08836
Emp_Den,0.196650358
Connectivity,-0.08
Emp_Den,0.296485385
Mix_Land,0.122375
Emp_Den,0.037929
Balance,-0.008288
Emp_Den,-0.0785
Pop_Den,0.0407
Pop_Den,0.03
Mix_Land,0.14079
Balance,0.036418943
Local_Access,0.132357133
Emp_Den,0.05
Local_access,0.028988745
Act_Den,0.511
Local_Access,0.255
Local_Access,0.202
Local_Access,0.21
Mix_Land,0.039258545
Pop_Den,0.4093
Local_Access,0.091228501
Emp_Den,0.01
Comm_Den,0.03324
Comm_Den,0.03
Centrality,0.0177
Pop_Den,0.005
Centrality,0.086267743
Centrality,-0.004
Connectivity,0.028478385
Safety,0.05193396
Pop_Den,0.014
Connectivity,0.016603704
Safety,-0.05610384
Pop_Den,-0.01
Mix_Land,0.002348786
Emp_Den,0.006
Emp_Den,0.015041315
Mix_Land,-0.01
Pop_Den,0.315582067
Safety,0.068793543
Comm_Den,0.223
Comm_Den,0.222
Pop_Den,0.006231732
Emp_Den,0.011
Comm_Den,-0.01
Centrality,0.019823958
Pop_Den,0.001804927
Amenity,-0.00576
Comm_Den,-0.01
Amenity,0.003321067
Centrality,0.5482
Centrality,0.5536
Mix_Land,0.02254
Local_Access,-0.00202
Pop_den,-0.000167839
Emp_Den,0.000368907
Local_Access,5.75667E-06
Centrality,2.97086E-08
Emp_Den,-0.001458576
Emp_Den,-0.31625807
Comm_Den,-0.058174
